ObjectTemplateName	SwooshName	UseObjectHue
s	s	i[0]
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_gen5.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s1_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s1_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s1_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s1_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s2_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s2_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s2_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s2_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s3_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s3_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s3_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s3_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s4_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s4_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s4_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s4_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s5.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s5_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s5_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s5_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s5_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s6.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s6_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s6_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s6_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s6_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s7.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s7_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s7_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s7_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s7_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s8.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s8_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s8_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s8_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s8_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s9.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s9_gen1.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s9_gen2.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s9_gen3.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s9_gen4.iff	appearance/sw_light_saber_white.swh	1
object/weapon/melee/sword/crafted_saber/shared_sword_lightsaber_one_handed_s10.iff	appearance/sw_light_saber_white.swh	1
